##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
0;1885;2694;2942;0
1;1885;2627;2822;0
2;1885;2556;2710;0
3;1885;2508;2658;0
4;1885;2466;2609;0
5;1885;2422;2547;0
6;1885;2387;2518;0
7;1885;2360;2497;0
8;1860;2327;2456;0
9;1857;2295;2418;0
10;1717;2273;2408;0
11;1717;2250;2377;0
12;1717;2231;2357;0
13;1659;2207;2350;0
14;1659;2182;2312;0
15;1659;2167;2323;0
16;1659;2139;2269;0
17;1659;2125;2274;0
18;1659;2112;2290;0
19;1659;2082;2228;0
20;1659;2065;2227;0
21;1655;2049;2213;0
22;1648;2027;2173;0
23;1648;2009;2165;0
24;1648;2000;2188;0
25;1648;1972;2121;0
26;1648;1961;2127;0
27;1648;1942;2093;0
28;1626;1926;2088;0
29;1626;1908;2064;0
30;1626;1897;2080;0
31;1626;1886;2075;0
32;1626;1871;2062;0
33;1626;1862;2058;0
34;1626;1852;2053;0
35;1626;1839;2028;0
36;1586;1835;2046;0
37;1520;1820;2005;0
38;1520;1810;1986;0
39;1520;1807;2003;0
40;1503;1800;2011;0
41;1503;1786;1965;0
42;1503;1789;2009;0
43;1503;1777;1974;0
44;1503;1765;1940;0
45;1503;1752;1913;0
46;1503;1760;1972;0
47;1503;1759;1999;0
48;1492;1746;1953;0
49;1492;1739;1932;0
50;1492;1730;1908;0
51;1492;1726;1908;0
52;1492;1726;1929;0
53;1492;1722;1930;0
54;1492;1715;1915;0
55;1492;1723;1970;0
56;1490;1702;1893;0
57;1425;1701;1915;0
58;1425;1697;1906;0
59;1425;1687;1875;0
60;1425;1693;1920;0
61;1425;1694;1940;0
62;1425;1685;1912;0
63;1425;1674;1869;0
64;1425;1676;1889;0
65;1425;1675;1903;0
66;1425;1665;1873;0
67;1425;1667;1895;0
68;1425;1656;1853;0
69;1425;1654;1862;0
70;1425;1652;1871;0
71;1425;1649;1873;0
72;1425;1639;1829;0
73;1425;1641;1855;0
74;1425;1636;1847;0
75;1425;1639;1866;0
76;1425;1631;1836;0
77;1425;1630;1852;0
78;1425;1622;1828;0
79;1425;1622;1839;0
80;1425;1612;1811;0
81;1390;1619;1858;0
82;1390;1613;1837;0
83;1390;1612;1842;0
84;1390;1596;1776;0
85;1390;1598;1798;0
86;1390;1599;1812;0
87;1390;1601;1840;0
88;1390;1593;1809;0
89;1390;1602;1866;0
90;1390;1584;1801;0
91;1390;1580;1795;0
92;1390;1575;1789;0
93;1390;1577;1803;0
94;1390;1577;1817;0
95;1390;1567;1777;0
96;1390;1572;1808;0
97;1382;1566;1787;0
98;1382;1569;1824;0
99;1341;1562;1796;0
100;1341;1563;1810;2585
101;1341;1559;1792;2585
102;1341;1552;1774;2585
103;1341;1557;1815;2585
104;1341;1545;1762;2585
105;1341;1550;1792;2585
106;1341;1551;1815;2585
107;1341;1536;1756;2585
108;1341;1537;1763;2585
109;1327;1533;1752;2585
110;1327;1545;1819;2585
111;1327;1535;1780;2585
112;1327;1532;1784;2585
113;1327;1537;1808;2585
114;1327;1532;1789;2585
115;1327;1532;1803;2585
116;1327;1518;1738;2585
117;1327;1514;1735;2585
118;1294;1508;1718;2585
119;1294;1512;1746;2585
120;1294;1525;1817;2585
121;1294;1514;1770;2585
122;1294;1506;1740;2585
123;1294;1498;1704;2585
124;1294;1503;1744;2585
125;1292;1501;1747;2585
126;1292;1491;1706;2585
127;1292;1499;1753;2585
128;1292;1490;1720;2585
129;1292;1493;1747;2585
130;1292;1487;1726;2585
131;1292;1488;1738;2585
132;1292;1491;1761;2585
133;1292;1475;1695;2585
134;1292;1481;1735;2585
135;1292;1481;1739;2585
136;1292;1478;1727;2585
137;1292;1475;1720;2585
138;1292;1469;1706;2585
139;1292;1476;1748;2585
140;1281;1472;1735;2585
141;1281;1465;1705;2585
142;1281;1462;1703;2585
143;1281;1464;1718;2585
144;1281;1456;1689;2585
145;1281;1462;1715;2585
146;1281;1462;1733;2585
147;1270;1461;1733;2585
148;1270;1452;1693;2585
149;1270;1460;1739;2585
150;1270;1441;1654;2585
151;1270;1455;1727;2585
152;1270;1447;1699;2585
153;1270;1455;1737;2585
154;1270;1440;1677;2585
155;1270;1441;1688;2585
156;1270;1439;1691;2585
157;1270;1443;1706;2585
158;1270;1435;1678;2585
159;1270;1433;1669;2585
160;1270;1438;1698;2585
161;1270;1438;1707;2585
162;1270;1435;1691;2585
163;1270;1436;1697;2585
164;1270;1429;1673;2585
165;1270;1428;1677;2585
166;1270;1440;1745;2585
167;1270;1429;1693;2585
168;1270;1422;1665;2585
169;1270;1429;1700;2585
170;1270;1430;1710;2585
171;1267;1428;1702;2585
172;1267;1425;1695;2585
173;1267;1418;1665;2585
